"","Company","Ticker","Local Price","Shares Outstanding","Market Cap"
"1","3M Co","MMM","167.38","605,038,000.00","101,271,260,440.00"
"2","AES Corp","AES","11.16","659,733,000.00","7,362,620,280.00"
"3","AFLAC Inc","AFL","68.97","420,001,000.00","28,967,468,970.00"
"4","AGL Resources","GAS","65.86","120,384,000.00","7,928,490,240.00"
"5","AMETEK Inc","AME","48.09","235,538,000.00","11,327,022,420.00"
"6","AT&T Inc","T","38.82","6,151,209,000.00","238,789,933,380.00"
"7","AbbVie Inc.","ABBV","61.00","1,611,238,000.00","98,285,518,000.00"
"8","Abbott Laboratories","ABT","38.90","1,473,242,000.00","57,309,113,800.00"
"9","Accenture plc A","ACN","112.92","627,914,000.00","70,904,048,880.00"
"10","Activision Blizzard Inc","ATVI","34.47","734,998,000.00","25,335,381,060.00"
"11","Adobe Systems Inc","ADBE","94.22","498,330,000.00","46,952,652,600.00"
"12","Advance Auto Parts Inc","AAP","156.10","73,322,000.00","11,445,564,200.00"
"13","Aetna Inc","AET","112.27","349,600,000.00","39,249,592,000.00"
"14","Affiliated Managers Grp","AMG","170.32","53,992,000.00","9,195,917,440.00"
"15","Agilent Technologies Inc","A","40.92","327,770,000.00","13,412,348,400.00"
"16","Air Products &  Chemicals Inc","APD","145.89","215,650,000.00","31,461,178,500.00"
"17","Airgas Inc","ARG","142.44","72,428,000.00","10,316,644,320.00"
"18","Akamai Technologies Inc","AKAM","50.99","176,748,000.00","9,012,380,520.00"
"19","Alcoa Inc","AA","11.17","1,314,846,000.00","14,686,829,820.00"
"20","Alexion Pharmaceuticals  Inc","ALXN","139.28","225,291,000.00","31,378,530,480.00"
"21","Allegion plc","ALLE","65.45","96,097,000.00","6,289,548,650.00"
"22","Allergan plc","AGN","216.56","394,687,000.00","85,473,416,720.00"
"23","Alliance Data Systems  Corp","ADS","203.31","59,261,000.00","12,048,353,910.00"
"24","Allstate Corp","ALL","65.05","378,300,000.00","24,608,415,000.00"
"25","Alphabet Inc A","GOOGL","707.88","292,581,000.00","207,112,238,280.00"
"26","Alphabet Inc C","GOOG","693.01","345,539,000.00","239,461,982,390.00"
"27","Altria Group Inc","MO","62.71","1,957,932,000.00","122,781,915,720.00"
"28","Amazon.com Inc","AMZN","659.59","470,842,000.00","310,562,674,780.00"
"29","Ameren Corp","AEE","48.00","242,635,000.00","11,646,480,000.00"
"30","American Airlines Group  Inc.","AAL","34.69","603,018,000.00","20,918,694,420.00"
"31","American Electric Power","AEP","63.50","491,053,000.00","31,181,865,500.00"
"32","American Express Co","AXP","65.43","964,045,000.00","63,077,464,350.00"
"33","American Intl Group Inc","AIG","55.82","1,149,448,000.00","64,162,187,360.00"
"34","American Tower Corp A","AMT","104.88","423,898,000.00","44,458,422,240.00"
"35","American Water Works Co  Inc","AWK","72.76","178,009,000.00","12,951,934,840.00"
"36","Ameriprise Financial Inc","AMP","95.90","168,971,000.00","16,204,318,900.00"
"37","AmerisourceBergen Corp","ABC","85.10","225,425,000.00","19,183,667,500.00"
"38","Amgen Inc","AMGN","158.30","752,091,000.00","119,056,005,300.00"
"39","Amphenol Corp A","APH","55.83","308,038,000.00","17,197,761,540.00"
"40","Anadarko Petroleum Corp","APC","52.76","508,439,000.00","26,825,241,640.00"
"41","Analog Devices Inc","ADI","56.32","310,019,000.00","17,460,270,080.00"
"42","Anthem Inc","ANTM","140.77","261,352,000.00","36,790,521,040.00"
"43","Aon plc","AON","105.12","270,082,000.00","28,391,019,840.00"
"44","Apache Corp","APA","54.40","378,298,000.00","20,579,411,200.00"
"45","Apartment Investment  & Mgmt","AIV","40.06","156,600,000.00","6,273,396,000.00"
"46","Apple Inc.","AAPL","93.74","5,544,583,000.00","519,749,210,420.00"
"47","Applied Materials Inc","AMAT","20.47","1,130,725,000.00","23,145,940,750.00"
"48","Archer-Daniels-Midland Co","ADM","39.94","595,329,000.00","23,777,440,260.00"
"49","Assurant Inc","AIZ","84.57","64,777,000.00","5,478,190,890.00"
"50","AutoNation Inc","AN","50.65","107,225,000.00","5,430,946,250.00"
"51","AutoZone Inc","AZO","765.23","30,208,000.00","23,116,067,840.00"
"52","Autodesk Inc","ADSK","59.82","225,323,000.00","13,478,821,860.00"
"53","Automatic Data Processing","ADP","88.44","457,451,000.00","40,456,966,440.00"
"54","AvalonBay Communities Inc","AVB","176.79","137,003,000.00","24,220,760,370.00"
"55","Avery Dennison Corp","AVY","72.61","89,431,000.00","6,493,584,910.00"
"56","BB&T Corp","BBT","35.38","811,938,000.00","28,726,366,440.00"
"57","Baker Hughes Inc","BHI","48.36","437,854,000.00","21,174,619,440.00"
"58","Ball Corp","BLL","71.38","141,713,000.00","10,115,473,940.00"
"59","Bank of America Corp","BAC","14.56","10,325,631,000.00","150,341,187,360.00"
"60","Bard C.R. Inc","BCR","212.17","73,735,000.00","15,644,354,950.00"
"61","Baxalta Inc","BXLT","41.95","681,241,000.00","28,578,059,950.00"
"62","Baxter Intl Inc","BAX","44.22","547,872,000.00","24,226,899,840.00"
"63","Becton Dickinson & Co","BDX","161.26","211,817,000.00","34,157,609,420.00"
"64","Bed Bath & Beyond Inc","BBBY","47.22","163,587,000.00","7,724,578,140.00"
"65","Berkshire Hathaway B","BRK-B","145.48","2,465,196,000.00","358,636,714,080.00"
"66","Best Buy Co Inc","BBY","32.08","323,828,000.00","10,388,402,240.00"
"67","Biogen Inc","BIIB","274.99","218,673,000.00","60,132,888,270.00"
"68","BlackRock Inc","BLK","356.33","163,942,000.00","58,417,452,860.00"
"69","Block H & R Inc","HRB","20.24","235,950,000.00","4,775,628,000.00"
"70","Boeing Co","BA","134.80","662,504,000.00","89,305,539,200.00"
"71","Borgwarner Inc","BWA","35.92","218,639,000.00","7,853,512,880.00"
"72","Boston Properties Inc","BXP","128.86","153,592,000.00","19,791,865,120.00"
"73","Boston Scientific Corp","BSX","21.92","1,348,346,000.00","29,555,744,320.00"
"74","Bristol-Myers Squibb","BMY","72.18","1,669,459,000.00","120,501,550,620.00"
"75","Broadcom Limited","AVGO","145.75","390,316,000.00","56,888,557,000.00"
"76","Brown-Forman Corp B","BF-B","96.32","115,518,000.00","11,126,693,760.00"
"77","CA Inc","CA","29.66","416,763,000.00","12,361,190,580.00"
"78","CBRE Group Inc.","CBG","29.63","334,241,000.00","9,903,560,830.00"
"79","CBS Corp B","CBS","55.91","421,814,000.00","23,583,620,740.00"
"80","CF Industries Holdings","CF","33.07","233,083,000.00","7,708,054,810.00"
"81","CH Robinson Worldwide Inc","CHRW","70.97","143,243,000.00","10,165,955,710.00"
"82","CME Group Inc A","CME","91.91","338,413,000.00","31,103,538,830.00"
"83","CMS Energy Corp","CMS","40.68","277,167,000.00","11,275,153,560.00"
"84","CSRA Inc","CSRA","25.96","162,230,000.00","4,211,490,800.00"
"85","CSX Corporation","CSX","27.27","963,150,000.00","26,265,100,500.00"
"86","CVS Health Corporation","CVS","100.50","1,098,491,000.00","110,398,345,500.00"
"87","Cablevision Systems Co A","CVC","33.39","222,522,000.00","7,430,009,580.00"
"88","Cabot Oil & Gas A","COG","23.40","458,060,000.00","10,718,604,000.00"
"89","Campbell Soup Co","CPB","61.71","310,031,000.00","19,132,013,010.00"
"90","Capital One Financial","COF","72.39","527,380,000.00","38,177,038,200.00"
"91","Cardinal Health Inc","CAH","78.46","329,330,000.00","25,839,231,800.00"
"92","Carmax Inc","KMX","52.95","195,729,000.00","10,363,850,550.00"
"93","Carnival Corp","CCL","49.05","577,745,000.00","28,338,392,250.00"
